game,song_name,credit
Brain Age: Train Your Brain in Minutes a Day!,Training Menu,Nana1Popo2
Castlevania: Dawn of Sorrow,Cursed Clock Tower,Atcero
Castlevania: Dawn of Sorrow,Demon Castle Pinnacle,Atcero
Castlevania: Dawn of Sorrow,Pitch Black Intrusion,Atcero
Castlevania: Dawn of Sorrow,Platinum Moonlight,Atcero
Castlevania: Order of Ecclesia,Cantus Motetten -1-,Yugikun
Castlevania: Portrait of Ruin,Bad Situation,Commander6
Castlevania: Portrait of Ruin,Crucifix Held Close,Commander6
Castlevania: Portrait of Ruin,Gaze Up At The Darkness,Commander6
Castlevania: Portrait of Ruin,Hail from the Past,Atcero
Castlevania: Portrait of Ruin,Iron Blue Intention,Awasai
Castlevania: Portrait of Ruin,The Gears Go Awry,Atcero
Cooking Mama,Done,Th3Gavst3r
Cooking Mama,Title Screen,Latios212
Cory in the House,White House,Zeila
Disgaea DS,Dark Whisper (Instrumental),Olimar12345
Donkey Kong 64,Frantic Factory (Research and Development),Sebastian
Donkey Kong 64,Frantic Factory Car Race,WaluigiTime64
Donkey Kong 64,Fungi Forest (Barrel Course),Sebastian
Donkey Kong 64,Fungi Forest (Bonus Room),Sebastian
Donkey Kong 64,Fungi Forest (Day),Sebastian
Donkey Kong 64,Fungi Forest (Giant Mushroom),Sebastian
Donkey Kong 64,Fungi Forest (Indoors 2),Sebastian
Donkey Kong 64,Fungi Forest (Indoors),Sebastian
Donkey Kong 64,Fungi Forest (Night),Nacho2420
Dragon Ball Z: Attack of the Saiyans,Final Boss (vs. Vegeta),LifeMushroom
Dragon Ball Z: Attack of the Saiyans,Saiyan Battle (Vs. Raditz/Nappa),LifeMushroom
Dragon Quest IX: Sentinels of the Starry Skies,Cave Waltz,fi_le
Dragon Quest IX: Sentinels of the Starry Skies,Heaven's Prayer (The Observatory),maxmic480
Dragon Quest IX: Sentinels of the Starry Skies,Painful Feelings,The Deku Trombonist
Dragon Quest IX: Sentinels of the Starry Skies,Riding in the Ark,Don Valentino
Dragon Quest IX: Sentinels of the Starry Skies,The Sun-Gathering Village,Code_Name_Geek
Dragon Quest IX: Sentinels of the Starry Skies,Verse of Prayer,K-NiGhT
Etrian Odyssey III: The Drowned City,Hoist the Sword with Pride in the Heart,Maelstrom
Etrian Odyssey III: The Drowned City,Unrest ~ The End of the Raging Waves,Maelstrom
Fire Emblem: New Mystery of the Emblem,Eternal Bond,Libera
Fire Emblem: New Mystery of the Emblem,Holy War,Libera
Donkey Kong 64,Fungi Forest (Spider),WaluigiTime64
Donkey Kong 64,Fungi Forest (Tree Trunk),WaluigiTime64
Donkey Kong 64,Funky's Armoury,Sebastian
Donkey Kong 64,Gloomy Galleon,WaluigiTime64
Donkey Kong 64,Gloomy Galleon (Barrel Course),WaluigiTime64
Donkey Kong 64,Gloomy Galleon (Caves),WaluigiTime64
Donkey Kong 64,Gloomy Galleon (Lighthouse-Submarine),WaluigiTime64
Donkey Kong 64,Gloomy Galleon (Mechanical Fish),WaluigiTime64
Donkey Kong 64,Gloomy Galleon (Mermaid Palace),Nacho2420
Donkey Kong 64,Gloomy Galleon (Pearl Treasure),WaluigiTime64
Donkey Kong 64,Gloomy Galleon (Ship Ruins),WaluigiTime64
Donkey Kong 64,Gloomy Galleon Boat Race,WaluigiTime64
Donkey Kong 64,Guitar Gazump! (Diddy Kong),E. Gadd Industries
Donkey Kong 64,Happy K Lumsy,WaluigiTime64
Donkey Kong 64,Hideout Helm (Two Pianos),WaluigiTime64
Donkey Kong 64,Hideout Helm (Bonus Barrel),WaluigiTime64
Donkey Kong 64,Hideout Helm 2,WaluigiTime64
Donkey Kong 64,Hunky Chunky,WaluigiTime64
Fire Emblem: Shadow Dragon,Trouble!,Don Valentino
Freshly-Picked Tingle's Rosy Rupeeland,Bodyguard Salon,Don Valentino
Freshly-Picked Tingle's Rosy Rupeeland,Tingle's House,Don Valentino
Ghost Trick: Phantom Detective,Cabanela ~A Lanky Man in Lovely White,Static
Golden Sun: Dark Dawn,Apollo Ascent,Onionleaf
Golden Sun: Dark Dawn,Champa Camp,Onionleaf
Golden Sun: Dark Dawn,Kolima,Onionleaf
Golden Sun: Dark Dawn,Konpa Gate,Onionleaf
Golden Sun: Dark Dawn,Overworld,Thomas Wilson
Golden Sun: Dark Dawn,Passaj,Onionleaf
Golden Sun: Dark Dawn,Village Theme,Onionleaf
Gyakuten Kenji 2,Bonds: A Believing Heart,Echo
Gyakuten Kenji 2,Hakari Mikagami ~ Goddess of Law,Trasdegi
Donkey Kong 64,Jungle Japes (Barrel Blast),Sebastian
Donkey Kong 64,Jungle Japes (Caves),Sebastian
Donkey Kong 64,Jungle Japes (Mine Cart),Olimar12345
Donkey Kong 64,Jungle Japes (Storm),Sebastian
Donkey Kong 64,Jungle Japes (Underground),WaluigiTime64
Donkey Kong 64,Jungle Japes 2,Nacho2420
Donkey Kong 64,K. Lumsy,Sebastian
Donkey Kong 64,K. Rool,WaluigiTime64
Donkey Kong 64,K. Rool Defeated,WaluigiTime64
Donkey Kong 64,K. Rool Duel,Sebastian
Donkey Kong 64,K. Rool Introduction,WaluigiTime64
Donkey Kong 64,King Kut Out Battle,WaluigiTime64
Donkey Kong 64,Krem Isle,Sebastian
Donkey Kong 64,Mad Jack Battle,Sonic130
Gyakuten Kenji 2,Pursuit ~ Wanting to Find the Truth,mastersuperfan
Gyakuten Kenji 2,Raymond Shields ~ Joking Motive,Altissimo
Gyakuten Kenji 2,Yumihiko Ichiyanagi ~ First-Class Reasoning,Maelstrom
Harvest Moon DS,Spring,Code_Name_Geek
Harvest Moon DS,Winter,Code_Name_Geek
Hotel Dusk: Room 215,Bright Crystal,Olimar12345
Kingdom Hearts Re:coded,Data World Battle,Joel Hands-Otte
Kingdom Hearts Re:coded,Data World Battle (Normal) (Four Hands),Joel Hands-Otte
Kingdom Hearts Re:coded,Rowdy Rumble,Joel Hands-Otte
Kingdom Hearts Re:coded,Rowdy Rumble (Four Hands),Joel Hands-Otte
Kingdom Hearts Re:coded,To Our Surprise,Joel Hands-Otte
Kirby Mass Attack,Fun Castle,Latios212
Kirby Mass Attack,Tree to Tree,LeviR.star
Kirby Mass Attack,Vast Darkness,Static
Kirby Super Star Ultra,Helper's Rest,LeviR.star
Kirby: Canvas Curse,Drawcia Sorceress,LeviR.star
Kirby: Canvas Curse,Silver Submarine,Latios212
Kirby: Squeak Squad,File Select,Static
Donkey Kong 64,Mad Maze Maul,WaluigiTime64
Donkey Kong 64,Main Menu,WaluigiTime64
Donkey Kong 64,Minecart Mayhem,WaluigiTime64
Donkey Kong 64,Mini Monkey,Nintendude73
Donkey Kong 64,Monkey Smash,WaluigiTime64
Kirby: Squeak Squad,Prism Plains,Dekkadeci
Kirby: Squeak Squad,Vocal Volcano,LeviR.star
Kirby: Squeak Squad,Wonder of the Stars,LeviR.star
Last Window: The Secret of Cape West,Blue Lady,Jordan Knapp
Magical Starsign,Bena Rikashi,Lhosreiff
Magical Starsign,Boss Battle,LifeMushroom
Magical Starsign,Final Boss (vs. Shadra and Umbra),LifeMushroom
Magical Starsign,Pirate Battle,LifeMushroom
Magical Starsign,Port Pescato,LifeMushroom
Magical Starsign,Shadra Overworld,chelastgamer55
Donkey Kong 64,Pause Menu,WaluigiTime64
Donkey Kong 64,Pufftoss Battle,Bloop
Donkey Kong 64,Rambi's Theme,WaluigiTime64
Donkey Kong 64,Rocket Barrel Boost,PetrifiedLasagna
Donkey Kong 64,Saxophone Slam! (Tiny Kong),E. Gadd Industries
Donkey Kong 64,Snide's HQ,Sebastian
Donkey Kong 64,Strong Kong,WaluigiTime64
Donkey Kong 64,Tag Barrel (All Variations),Sebastian
Donkey Kong 64,Triangle Trample! (Chunky Kong),E. Gadd Industries
Donkey Kong 64,Troff 'n' Scoff,Sebastian
Donkey Kong 64,Trombone Tremor! (Lanky Kong),E. Gadd Industries
Magical Starsign,Space Police,chelastgamer55
Magical Starsign,Tropica,Lhosreiff
Mario & Luigi: Bowser's Inside Story,Bumpsy Plains,Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,Cavi Cape (Four Hands),Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,Clash of the Titans,Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,Deep Castle (Two Pianos),Travys Redgwell
Mario & Luigi: Bowser's Inside Story,Dimble Wood,Bloop
Mario & Luigi: Bowser's Inside Story,Dimble Wood (Inside Bowser),ThatHiddenCharacter
Mario & Luigi: Bowser's Inside Story,Fawful Castle,Dimentio
Mario & Luigi: Bowser's Inside Story,Friendship Song (Four Hands),Joel Hands-Otte
Earthworm Jim 3D,Fear the Forest,Nine Lives
F-Zero X,All Need is 30 Deaths,Yug Guy
F-Zero X,Climb Up! And Get the Last Chance!,Yug Guy
GoldenEye 007,007 Watch Theme,Yug Guy
GoldenEye 007,Antenna Cradle,Kricketune54
GoldenEye 007,Archive,evilsqueaky
GoldenEye 007,Aztec Complex,Kricketune54
GoldenEye 007,Byelomorye Dam,XiaoMigros
GoldenEye 007,Caverns Elevator,evilsqueaky
GoldenEye 007,Chemical Warfare Facility,Sebastian
Mario & Luigi: Bowser's Inside Story,It's Showtime!,Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,Let's-a-go!,Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,Main Theme,Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,Main Theme (Two Pianos),Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,The Grand Finale,Rubikium
Mario & Luigi: Bowser's Inside Story,The Grand Finale (Two Pianos),Joel Hands-Otte
Mario & Luigi: Bowser's Inside Story,The Wind is Blowing at Cavi Cape,ThatHiddenCharacter
Mario & Luigi: Bowser's Inside Story,Toad Town,DrP
Mario & Luigi: Partners in Time,Battle Clear Fanfare (Four Hands),Joel Hands-Otte
Mario & Luigi: Partners in Time,Boss Battle,WiiMan96
Mario & Luigi: Partners in Time,Bowser Battle (Four Hands),WobbliestGem
Bird & Beans,Pyoro's Theme 1,Olimar12345
GoldenEye 007,Converted Missile Train,Bloop
GoldenEye 007,el Shagira Temple,Nine Lives
GoldenEye 007,Elevator Music (Control),XiaoMigros
GoldenEye 007,Frigate 'La Fayette',Fantastic Ike
GoldenEye 007,Frigate (Remix),Whoppybones
GoldenEye 007,Kyrgyzstan Silo,evilsqueaky
GoldenEye 007,Main Title,Yug Guy
GoldenEye 007,Runway,evilsqueaky
GoldenEye 007,Satellite Control Bunker (Bunker 1),Kricketune54
GoldenEye 007,Settle the Score with 006,Fantastic Ike
GoldenEye 007,Statue Park,evilsqueaky
GoldenEye 007,Streets of Russia,evilsqueaky
Harvest Moon 64,Bar Theme,WiiMan96
Mario & Luigi: Partners in Time,Elder Princess Shroob Battle,Rubikium
Mario & Luigi: Partners in Time,Gritzy Desert,Static
Mario & Luigi: Partners in Time,Hollijolli Village,Don Valentino
Mario & Luigi: Partners in Time,Normal Battle (Two Pianos),Greg
Mario & Luigi: Partners in Time,Princess Shroob Battle,Rubikium
Mario & Luigi: Partners in Time,The Koopaseum,Don Valentino
Mario & Luigi: Partners in Time,Thwomp Volcano,Don Valentino
Mario & Luigi: Partners in Time,Toad Town,ThatHiddenCharacter
Mario & Luigi: Partners in Time,Vim Factory,Static
Mario & Luigi: Partners in Time,Yoob's Belly,Greg
Mario & Luigi: Partners in Time,Yoshi Mountain,Static
Mario Kart DS,Airship Fortress,JDMEK5
Harvest Moon 64,Fall,Code_Name_Geek
Harvest Moon 64,Moon Mountain,Code_Name_Geek
Harvest Moon 64,Name Entry,Code_Name_Geek
Harvest Moon 64,Spring,Code_Name_Geek
Harvest Moon 64,Summer,Nintendude73
Harvest Moon 64,Title Theme,Code_Name_Geek
Harvest Moon 64,Winter Theme,Sebastian
Jet Force Gemini,Character Select,mantis985
Jet Force Gemini,Eschebone,mantis985
Jet Force Gemini,S.S. Anubis,mantis985
Kirby 64: The Crystal Shards,Battle Among Friends: Adeleine,LeviR.star
Mario Kart DS,Battle Mode,LeviR.star
Mario Kart DS,Delfino Square,Don Valentino
Mario Kart DS,Luigi's Mansion,Bloop
Mario Kart DS,Main Menu,AmpharosAndy
Mario Kart DS,Nintendo WFC Menu,LeviR.star
Mario Kart DS,Peach Gardens,Static
Mario Kart DS,Race Loser,Kricketune54
Mario Kart DS,Rainbow Road,Latios212
Mario Kart DS,Tick Tock Clock,Sebastian
Mario Kart DS,Title Screen,Latios212
Mario Kart DS,Waluigi Pinball,Joel Hands-Otte
Kirby 64: The Crystal Shards,Boss,Commander6
Kirby 64: The Crystal Shards,Bumper Crop Bump,Radiak488417
Kirby 64: The Crystal Shards,Factory Inspection,Static
Kirby 64: The Crystal Shards,File Select,LeviR.star
Kirby 64: The Crystal Shards,Goal Game,LeviR.star
Kirby 64: The Crystal Shards,Inside the Ruins,Commander6
Kirby 64: The Crystal Shards,Neo Star,Kricketune54
Kirby 64: The Crystal Shards,Pop Star,Latios212
Kirby 64: The Crystal Shards,Quiet Forest,LeviR.star
Kirby 64: The Crystal Shards,Ripple Star,Commander6
Kirby 64: The Crystal Shards,Shiver Star,Commander6
Mario Kart 64,Banshee Boardwalk,Bloop
Mario Kart 64,Battle,The Deku Trombonist
Mega Man ZX,Sky High - Grand Nuage -,mikel
Mega Man ZX Advent,Slam Down,Jake_Luigi
Meteos,Ending 2,WiiMan96
New Super Mario Bros.,Athletic,Sebastian
New Super Mario Bros.,Bonus Area,amc
New Super Mario Bros.,Bowser Jr. Battle,LeviR.star
New Super Mario Bros.,Castle,Tobbeh99
New Super Mario Bros.,Lava Overworld,Latios212
New Super Mario Bros.,Mega Mushroom,Joel Hands-Otte
New Super Mario Bros.,Overworld,LeviR.star
New Super Mario Bros.,Overworld (Vs. Mode),Latios212
New Super Mario Bros.,Title Screen,Nana1Popo2
New Super Mario Bros.,Toad House,Static
Mario Kart 64,Bowser's Castle,Clanker37
Mario Kart 64,Choco Mountain,The Deku Trombonist
Mario Kart 64,Frappe Snowland (Two Pianos),WiiMan96
Mario Kart 64,Kalimari Desert,The Deku Trombonist
Mario Kart 64,Koopa Troopa Beach,The Deku Trombonist
Mario Kart 64,Mario Raceway,The Deku Trombonist
Mario Kart 64,Moo Moo Farm / Yoshi Valley,Olimar12345
Mario Kart 64,Prize #1 (1st - 3rd),The Deku Trombonist
Mario Kart 64,Rainbow Road,The Deku Trombonist
Mario Kart 64,Result #1 (Win),The Deku Trombonist
Mario Kart 64,Result #2 (Lose),The Deku Trombonist
Mario Kart 64,Result #3 (VS & Battle),The Deku Trombonist
Mario Kart 64,Select,The Deku Trombonist
Mario Kart 64,Staff Roll,MetroidHunter26
Mario Kart 64,Staff Roll (Four Hands),Nine Lives
New Super Mario Bros.,Underground,Sebastian
New Super Mario Bros.,Walking the Hot Desert (Two Pianos),Greg
New Super Mario Bros.,Walking the Plains (Two Pianos),Greg
New Super Mario Bros.,World 1 (The Plains) (Two Pianos),Greg
New Super Mario Bros.,World 3 (The Beach),Greg
"Nine Hours, Nine Persons, Nine Doors",9 Years,Maelstrom
"Nine Hours, Nine Persons, Nine Doors",Morphogenetic Sorrow,Maelstrom
Nintendogs,Naptime Record,PokéMaster
Phoenix Wright: Ace Attorney,Ace Attorney - Court Begins,mastersuperfan
Phoenix Wright: Ace Attorney,Courtroom Lobby ~ The First Prelude,mastersuperfan
Phoenix Wright: Ace Attorney,Cross-Examination ~ Allegro 2001,mastersuperfan
Phoenix Wright: Ace Attorney,Cross-Examination ~ Moderato 2001,Maelstrom
Mario Kart 64,Star,The Deku Trombonist
Mario Kart 64,Start Grid Fanfare (GP & VS),TheMarioPianist
Mario Kart 64,Title Screen,The Deku Trombonist
Mario Kart 64,Toad's Turnpike,Static
Mario Party,Eternal Star,Nacho2420
Mario Party,Everyone's a Super Star,Nacho2420
Mario Party,Faster Than All,Olimar12345
Mario Party,Let's Play a Mini-Game!,E. Gadd Industries
Mario Party,Magma Mountain,cacabish
Mario Party,Mini-Game Stadium,PseudoMario16
Mario Party,Mushroom Shop,WiiMan96
Mario Party,Opening Theme,Nacho2420
Mario Party,Rainbow Castle,Nacho2420
Mario Party,Saving Courage,cacabish
Mario Party,The Adventure Begins,PseudoMario16
Mario Party 2,Ending Theme,Nacho2420
Mario Party 2,Going Somewhere,cacabish
Phoenix Wright: Ace Attorney,"Dick Gumshoe ~ It's Detective Gumshoe, Pal!",jb3ck15
Phoenix Wright: Ace Attorney,Ema Skye ~ Turnabout Sisters' Theme 2005,Onionleaf
Phoenix Wright: Ace Attorney,Investigation ~ Core 2001,Onionleaf
Phoenix Wright: Ace Attorney,Investigation ~ Opening 2001,mastersuperfan
Phoenix Wright: Ace Attorney,Logic and Trick,Maelstrom
Phoenix Wright: Ace Attorney,"Marvin Grossberg ~ Old Age, Regret, Retribution",Onionleaf
Phoenix Wright: Ace Attorney,Maya Fey ~ Turnabout Sisters' Theme 2001,mastersuperfan
Phoenix Wright: Ace Attorney,Phoenix Wright ~ Objection! 2001,mastersuperfan
Phoenix Wright: Ace Attorney,Pursuit ~ Cornered,mastersuperfan
Phoenix Wright: Ace Attorney,Pursuit ~ Cornered (Two Pianos),mastersuperfan
Phoenix Wright: Ace Attorney,Suspense,mastersuperfan
Phoenix Wright: Ace Attorney,Tell the Truth 2001,Maelstrom
Phoenix Wright: Ace Attorney,"The Steel Samurai, Warrior of Neo Olde Tokyo",mastersuperfan
Phoenix Wright: Ace Attorney,Turnabout Sisters' Ballad,mastersuperfan
Phoenix Wright: Ace Attorney: Justice for All,Court Begins,mastersuperfan
Mario Party 2,Horror Land,cacabish
Mario Party 2,Keepin' on the Path,Nine Lives
Mario Party 2,Space Land,The Deku Trombonist
Mario Party 2,Star Spot,The Deku Trombonist
Mario Party 2,Start of the Adventure,dahans
Mario Party 2,The Adventure Ends,Dimentio
Mario Party 2,The Blue Skies Yonder,cacabish
Mario Party 2,The Way to Play,Nacho2420
Mario Party 2,Western Land,Nine Lives
Mario Party 3,Castle Grounds,The Deku Trombonist
Mario Party 3,Chilly Waters,Nacho2420
Mario Party 3,Ending Theme,dahans
Mario Party 3,Looking Ahead,dahans
Mario Party 3,Preparation for Adventure,Nacho2420
Mario Party 3,Select a File,FierceDeity
Phoenix Wright: Ace Attorney: Justice for All,Cross-Examination ~ Allegro 2002,mastersuperfan
Phoenix Wright: Ace Attorney: Justice for All,Eccentric (Two Pianos),mastersuperfan
Phoenix Wright: Ace Attorney: Justice for All,Great Revival ~ Franziska von Karma,mastersuperfan
Phoenix Wright: Ace Attorney: Justice for All,Great Revival ~ Miles Edgeworth,mastersuperfan
Phoenix Wright: Ace Attorney: Justice for All,Phoenix Wright ~ Objection! 2002,mastersuperfan
Phoenix Wright: Ace Attorney: Trials and Tribulations,Detention Center ~ Elegy of the Detained,Onionleaf
Phoenix Wright: Ace Attorney: Trials and Tribulations,Furio Tigre: Swingin' Tiger,Jordan Knapp
Phoenix Wright: Ace Attorney: Trials and Tribulations,Godot ~ The Fragrance of Dark Coffee,mastersuperfan
Phoenix Wright: Ace Attorney: Trials and Tribulations,Prologue,Jordan Knapp
Phoenix Wright: Ace Attorney: Trials and Tribulations,Trés Bien,Onionleaf
Pokémon Black Version & Pokémon White Version,A Day of Beginnings,Latios212
Mario Party 3,Spiny Desert,cacabish
Mario Party 3,The Adventure Ends,The Deku Trombonist
Mario Party 3,Title Screen,The Deku Trombonist
Mario Party 3,Woody Woods,dahans
Mario Tennis,D.K.'s Court,PseudoMario16
Mario Tennis,Yoshi's and Baby Mario's Court,PseudoMario16
Mission: Impossible 64,Embassy Function,Sebastian
Paper Mario,Angry Bowser,Maelstrom
Paper Mario,Approach to the Mansion,Nacho2420
Paper Mario,Attack on the Koopa Bros.,Don Valentino
Pokémon Black Version & Pokémon White Version,A Tight Spot During Battle!,JDMEK5
Pokémon Black Version & Pokémon White Version,Accumula Town,DrP
Pokémon Black Version & Pokémon White Version,An Unwavering Heart,JDMEK5
Pokémon Black Version & Pokémon White Version,Anville Town,Olimar12345
Pokémon Black Version & Pokémon White Version,Battle! (Cheren/Bianca),JDMEK5
Pokémon Black Version & Pokémon White Version,Battle! (Elite Four),JDMEK5
Pokémon Black Version & Pokémon White Version,Battle! (Legendary Pokémon),Purple1222119
Pokémon Black Version & Pokémon White Version,Battle! (Team Plasma),Latios212
Pokémon Black Version & Pokémon White Version,Battle! (Trainer Battle),JDMEK5
Pokémon Black Version & Pokémon White Version,Battle! (Wild Pokémon),Olimar12345
Pokémon Black Version & Pokémon White Version,Bicycle,Latios212
Pokémon Black Version & Pokémon White Version,Castelia City,DrP
Pokémon Black Version & Pokémon White Version,Castelia City (Two Pianos),JDMEK5
Paper Mario,Battle Fanfare,FierceDeity
Paper Mario,Beach Tunes,Sebastian
Paper Mario,Boos' Dance,Sebastian
Paper Mario,Caught!,Sebastian
Paper Mario,Chanterelle's Song,Nacho2420
Paper Mario,Chomp Attack,FierceDeity
Paper Mario,Clouds Over Flower Fields,Sebastian
Paper Mario,Club 64,Nacho2420
Paper Mario,Cold Reception in Shiver City,The Deku Trombonist
Paper Mario,Crystal Palace Crawl,Tangy
Paper Mario,Detective Mario,Olimar12345
Paper Mario,Dry Dry Desert Trek,Bloop
Paper Mario,Forever Forest Theme,Sebastian
Kirby Slide,In-Game & Puzzle Cleared,LeviR.star
Pokémon Black Version & Pokémon White Version,Champion Alder,JDMEK5
Pokémon Black Version & Pokémon White Version,Coronation Day,JDMEK5
Pokémon Black Version & Pokémon White Version,Dragonspiral Tower,Bespinben
Pokémon Black Version & Pokémon White Version,Driftveil City,Jompa
Pokémon Black Version & Pokémon White Version,Driftveil Drawbridge,Cashwarrior1
Pokémon Black Version & Pokémon White Version,"Ending ""Onward to Our Own Futures"" (Two Pianos)",JDMEK5
Pokémon Black Version & Pokémon White Version,Ghetsis' Ambitions,JDMEK5
Pokémon Black Version & Pokémon White Version,Icirrus City,DrP
Pokémon Black Version & Pokémon White Version,Lacunosa Town,Latios212
Pokémon Black Version & Pokémon White Version,Mistralton City,DrP
Pokémon Black Version & Pokémon White Version,Musical Hall,Jordan Knapp
Pokémon Black Version & Pokémon White Version,Musical Hall (Two Pianos),Joel Hands-Otte
Paper Mario,Freeze!,spitllama
Paper Mario,Fuzzys Stole My Shell,Olimar12345
Paper Mario,Gates of Goomba Castle,Bloop
Paper Mario,Ghost Gulping,Sebastian
Paper Mario,Goomba Village,Sebastian
Paper Mario,Gusty Gulch Adventure,Bloop
Paper Mario,"Hang In There, Peach!",FireArrow
Paper Mario,Hey You!,The Deku Trombonist
Paper Mario,Jade Jungle,Sebastian
Paper Mario,Jr. Troopa,Dudeman
Paper Mario,K64 Train Ride,The Deku Trombonist
Paper Mario,Kammy Koopa's Theme,Bloop
Paper Mario,Keeping Pace,Nacho2420
Paper Mario,Koopa Bros. Keep Cool,Olimar12345
Paper Mario,Koopa Bros. Tricks,FierceDeity
Paper Mario,Koopa Village,Tangy
Pokémon Black Version & Pokémon White Version,N's Castle,Latios212
Pokémon Black Version & Pokémon White Version,N's Farewell,Bespinben
Pokémon Black Version & Pokémon White Version,"N, the Pokémon Child",Joel Hands-Otte
Pokémon Black Version & Pokémon White Version,Nacrene City,Latios212
Pokémon Black Version & Pokémon White Version,Nimbasa City,JDMEK5
Pokémon Black Version & Pokémon White Version,Nuvema Town,JDMEK5
Pokémon Black Version & Pokémon White Version,Obtained a TM!,Don Valentino
Pokémon Black Version & Pokémon White Version,Opelucid City (Pokémon Black),Joel Hands-Otte
Pokémon Black Version & Pokémon White Version,Opelucid City (Pokémon White),Joel Hands-Otte
Pokémon Black Version & Pokémon White Version,Opelucid City (Pokémon White) (Two Pianos),Joel Hands-Otte
Paper Mario,Main Menu,Sebastian
Paper Mario,March Ahead,Nacho2420
Paper Mario,Mario and Peach's Theme,Nacho2420
Paper Mario,Mario Bros. House,Sebastian
Paper Mario,Master Battle,Sebastian
Paper Mario,Mt. Rugged Theme,FierceDeity
Paper Mario,Mysterious Dry Dry Outpost,Nacho2420
Paper Mario,New Member,The Deku Trombonist
Paper Mario,Over Shiver Mountain,Bloop
Paper Mario,Petunia Under Attack!,Nacho2420
Paper Mario,Princess in Distress,Sebastian
Paper Mario,Raphael the Raven,Don Valentino
Pokémon Black Version & Pokémon White Version,Pokémon World Championships Final (Four Hands),JDMEK5
Pokémon Black Version & Pokémon White Version,Relic Song,Jompa
Pokémon Black Version & Pokémon White Version,Route 1,JDMEK5
Pokémon Black Version & Pokémon White Version,Route 10,The Deku Trombonist
Pokémon Black Version & Pokémon White Version,Route 2,JDMEK5
Pokémon Black Version & Pokémon White Version,Route 4,Jordan Knapp
Pokémon Black Version & Pokémon White Version,Route 6,DrP
Pokémon Black Version & Pokémon White Version,Skyarrow Bridge,Onionleaf
Pokémon Black Version & Pokémon White Version,Striaton City,Latios212
Pokémon Black Version & Pokémon White Version,Surf,Latios212
Pokémon Black Version & Pokémon White Version,The Pokémon League,JDMEK5
Pokémon Black Version & Pokémon White Version,Undella Town (Autumn/Winter/Spring),The Deku Trombonist
Paper Mario,Shooting Star Summit,The Deku Trombonist
Paper Mario,Shy Guy Riot,Sebastian
Paper Mario,Shy Guy's Toy Box,Bloop
Paper Mario,Snow Road,Bloop
Paper Mario,Star Spirits' Request,spitllama
Paper Mario,Story of the Stolen Spirits,Bloop
Paper Mario,The Castle Crumbles,Sebastian
Paper Mario,Toad Town,Nacho2420
Paper Mario,Toad Town Variations,Sebastian
Paper Mario,Tubba Blubba's Castle,Nacho2420
Pokémon Black Version & Pokémon White Version,Undella Town (Summer),DrP
Pokémon Black Version & Pokémon White Version,Village Bridge,Latios212
Pokémon Black Version & Pokémon White Version,White Forest,Cashwarrior1
Pokémon Black Version & Pokémon White Version,Xtransceiver,JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Aspertia City,Trasdegi
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Hoenn Version),JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Hoenn Version) (Two Pianos),JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Johto Version),JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Johto Version) (Two Pianos),JDMEK5
Paper Mario,Twink's Theme,Tangy
Paper Mario,Walking on the Clouds,Sebastian
Paper Mario,Welcome to Yoshi's Village,Sebastian
Paper Mario,Whale Ride,Sebastian
Paper Mario,Wish of the Princess,Bespinben
Perfect Dark,Chicago: Stealth,Yug Guy
Pokémon Snap,A Mysterious Sighting,JDMEK5
Pokémon Snap,Snapshot Lullaby,JDMEK5
Pokémon Stadium,Sushi-Go-Round,Yug Guy
Star Fox 64,All Clear,Fernman
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Kanto Version),JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Kanto Version) (Two Pianos),JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Sinnoh Version),JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Battle! (Gym Leader-Sinnoh Version) (Two Pianos),JDMEK5
Pokémon Black Version 2 & Pokémon White Version 2,Castelia City Gym,Cashwarrior1
Pokémon Black Version 2 & Pokémon White Version 2,Cave of Being,Bubbles
Pokémon Black Version 2 & Pokémon White Version 2,Join Avenue - Greeting!,MoboMoga
Pokémon Black Version 2 & Pokémon White Version 2,N's Castle,Trasdegi
Pokémon Black Version 2 & Pokémon White Version 2,N's Room,Yugikun
Pokémon Black Version 2 & Pokémon White Version 2,N's Theme,Jordan Knapp
Pokémon Black Version 2 & Pokémon White Version 2,THE END,Yugikun
Pokémon Black Version 2 & Pokémon White Version 2,Virbank City,Latios212
